date,dividend
20020306,0
20020904,0
20030305,0
20030903,22
20040304,16
20040902,97
20050307,18
20050902,0
20060307,2196
20060904,0
20070307,313
20070904,55
20080305,0
20080903,0
20090305,0
20090902,106
20100305,0
20100902,0
20110307,143
20110902,0
20120306,121
20120904,0
20130306,0
20130904,277
20140305,209
20140903,759
20150305,0
20150902,322
