date,dividend
19920527,120
19930527,78
19940527,0
19950529,50
19980527,38
19990527,71
20000529,137
20010529,0
20020529,0
20030528,0
20040527,30
20050527,27
20060529,82
20070529,70
20080528,13
20090527,35
20100527,37
20110527,80
20120529,70
20130529,65
20140528,0
20150527,31
