date,price
20090702,10000
20090703,9958
20090706,9969
20090707,10053
20090708,10064
20090709,10022
20090710,10032
20090713,10117
20090714,10190
20090715,10264
20090716,10254
20090717,10243
20090721,10401
20090722,10475
20090723,10623
20090724,10528
20090727,10528
20090728,11076
20090729,11108
20090730,11108
20090731,10992
20090803,11108
20090804,11076
20090805,11034
20090806,11287
20090807,11076
20090810,11140
20090811,11076
20090812,11066
20090813,10823
20090814,10844
20090817,10644
20090818,10865
20090819,10802
20090820,10771
20090821,10908
20090824,10992
20090825,11066
20090826,11214
20090827,11235
20090828,11309
20090831,11456
20090901,11551
20090902,11583
20090903,11572
20090904,11604
20090907,11562
20090908,11425
20090909,11488
20090910,11678
20090911,11730
20090914,11636
20090915,11646
20090916,11593
20090917,11593
20090918,11783
20090924,11773
20090925,11583
20090928,11678
20090929,11646
20090930,11762
20091001,11752
20091002,11720
20091005,11593
20091006,11541
20091007,11509
20091008,11572
20091009,11498
20091013,11614
20091014,11794
20091015,12237
20091016,12374
20091019,12406
20091020,12363
20091021,12479
20091022,12395
20091023,12574
20091026,12511
20091027,12585
20091028,12701
20091029,12701
20091030,12595
20091102,12743
20091104,12722
20091105,12733
20091106,12701
20091109,12669
20091110,12574
20091111,12659
20091112,12458
20091113,12469
20091116,12522
20091117,12479
20091118,12469
20091119,12617
20091120,12606
20091124,12427
20091125,12606
20091126,12617
20091127,12659
20091130,12638
20091201,12648
20091202,12659
20091203,12669
20091204,12690
20091207,12754
20091208,12775
20091209,12701
20091210,12669
20091211,12690
20091214,12764
20091215,12711
20091216,12764
20091217,12711
20091218,12690
20091221,12785
20091222,12733
20091224,12690
20091225,12595
20091228,12437
20091229,12574
20091230,12479
20100104,12859
20100105,12901
20100106,12986
20100107,12996
20100108,12870
20100112,12859
20100113,12965
20100114,12870
20100115,12859
20100118,12617
20100119,12469
20100120,12585
20100121,12711
20100122,12669
20100125,12775
20100126,12785
20100127,12944
20100128,12901
20100129,13038
20100201,12901
20100202,13060
20100203,12796
20100204,12817
20100205,12944
20100208,12965
20100209,12975
20100210,13028
20100212,13102
20100215,13165
20100216,13197
20100217,13313
20100218,13376
20100219,13376
20100222,13534
20100223,13534
20100224,13555
20100225,13576
20100226,13576
20100301,13692
20100302,13756
20100303,13640
20100304,13302
20100305,13292
20100308,13239
20100309,13408
20100310,13492
20100311,13482
20100312,13566
20100315,13482
20100316,13492
20100317,13397
20100318,13365
20100319,13292
20100323,13081
20100324,13165
20100325,13133
20100326,13081
20100329,13070
20100330,13155
20100331,13197
20100401,13249
20100402,13197
20100405,13165
20100406,13313
20100407,13334
20100408,13144
20100409,13091
20100412,13302
20100413,13260
20100414,13323
20100415,13323
20100416,13334
20100419,13292
20100420,13249
20100421,13344
20100422,13460
20100423,13228
20100426,13281
20100427,13102
20100428,13123
20100430,13112
20100506,13133
20100507,13123
20100510,13112
20100511,13017
20100512,13038
20100513,13017
20100514,12965
20100517,13471
20100518,13186
20100519,13123
20100520,13070
20100521,12912
20100524,12944
20100525,12975
20100526,13017
20100527,13007
20100528,13038
20100531,13007
20100601,12922
20100602,12912
20100603,12954
20100604,12996
20100607,12975
20100608,12775
20100609,12859
20100610,13007
20100611,13017
20100614,12944
20100615,13007
20100616,13017
20100617,13007
20100618,13460
20100621,13418
20100622,13334
20100623,13524
20100624,13503
20100625,13598
20100628,13650
20100629,13671
20100630,13661
20100701,13650
20100702,13766
20100705,13798
20100706,13809
20100707,13671
20100708,13576
20100709,13703
20100712,13935
20100713,13798
20100714,13787
20100715,13798
20100716,13735
20100720,13777
20100721,13946
20100722,13967
20100723,13830
20100726,13819
20100727,13977
20100728,14051
20100729,14051
20100730,14125
20100802,14125
20100803,14083
20100804,14357
20100805,14389
20100806,14378
20100809,14389
20100810,14209
20100811,14241
20100812,14136
20100813,14146
20100816,14146
20100817,14241
20100818,14167
20100819,14230
20100820,14262
20100823,14125
20100824,14178
20100825,14146
20100826,14093
20100827,14420
20100830,14505
20100831,14494
20100901,14536
20100902,14821
20100903,14157
20100906,14220
20100907,14241
20100908,14315
20100909,14304
20100910,14346
20100913,14136
20100914,14125
20100915,14136
20100916,14136
20100917,14241
20100921,14262
20100922,14304
20100924,14294
20100927,14262
20100928,14368
20100929,14315
20100930,14304
20101001,14452
20101004,14663
20101005,14673
20101006,14726
20101007,14800
20101008,14874
20101012,14800
20101013,14673
20101014,14695
20101015,14948
20101018,15043
20101019,14948
20101020,14906
20101021,14884
20101022,14948
20101025,14874
20101026,14853
20101027,14906
20101028,14768
20101029,14747
20101101,14821
20101102,14779
20101104,14842
20101105,15011
20101108,15169
20101109,14969
20101110,14927
20101111,14937
20101112,14948
20101115,15138
20101116,15275
20101117,15169
20101118,15095
20101119,15085
20101122,15211
20101124,15454
20101125,15349
20101126,15349
20101129,15433
20101130,15380
20101201,15285
20101202,15275
20101203,15306
20101206,15306
20101207,15275
20101208,15169
20101209,15043
20101210,15074
20101213,15011
20101214,14884
20101215,14758
20101216,14906
20101217,15043
20101220,15169
20101221,15328
20101222,15380
20101224,15538
20101227,15528
20101228,15528
20101229,15517
20101230,15401
20110104,15465
20110105,15697
20110106,15823
20110107,15897
20110111,15887
20110112,15897
20110113,15728
20110114,15581
20110117,15549
20110118,15707
20110119,15655
20110120,15739
20110121,15707
20110124,15697
20110125,15802
20110126,15771
20110127,15760
20110128,15844
20110131,15982
20110201,16055
20110202,16129
20110203,16003
20110204,16055
20110207,16119
20110208,16055
20110209,16298
20110210,16456
20110214,16541
20110215,16477
20110216,16498
20110217,16509
20110218,16488
20110221,16625
20110222,16783
20110223,16963
20110224,17005
20110225,17237
20110228,17638
20110301,16678
20110302,16530
20110303,16699
20110304,16709
20110307,17005
20110308,16952
20110309,16889
20110310,16941
20110311,15929
20110314,16583
20110315,16752
20110316,16498
20110317,16720
20110318,16825
20110322,17110
20110323,17079
20110324,17068
20110325,17522
20110328,17458
20110329,17490
20110330,17659
20110331,17648
20110401,17733
20110404,17944
20110405,18218
20110406,17996
20110407,18049
20110408,18028
20110411,18081
20110412,17838
20110413,17933
20110414,17944
20110415,17806
20110418,18271
20110419,18439
20110420,18376
20110421,18619
20110422,18492
20110425,18344
20110426,18271
20110427,18144
20110428,18334
20110502,18323
20110506,18576
20110509,18650
20110510,18482
20110511,18513
20110512,18735
20110513,18735
20110516,18471
20110517,18555
20110518,18576
20110519,18809
20110520,18914
20110523,18650
20110524,18619
20110525,18534
20110526,18249
20110527,18249
20110530,18049
20110531,18176
20110601,18555
20110602,18524
20110603,18661
20110606,18534
20110607,18397
20110608,18292
20110609,18292
20110610,17944
20110613,18387
20110614,18292
20110615,18239
20110616,18292
20110617,18344
20110620,18650
20110621,18608
20110622,18281
20110623,18102
20110624,18144
20110627,18313
20110628,18218
20110629,18207
20110630,18070
20110701,18102
20110704,18186
20110705,18650
20110706,18735
20110707,18692
20110708,18682
20110711,18692
20110712,18671
20110713,18049
20110714,18112
20110715,18228
20110719,18387
20110720,18323
20110721,18218
20110722,18260
20110725,18344
20110726,18408
20110727,18439
20110728,18439
